acc_id,obs_id,title,species_accepted,genus_accepted,family_accepted,order_accepted,class_accepted,pld_av_comp_effectsize_d,pld_av_comp_effect_sd,pld_av_mort_effectsize_d,pld_av_mort_effect_sd,spawn_mode,biogeog_realm,latmin,latmax,lonmin,lonmax,growth_form,growth_form_cat
A_2134,A_2134_03,"Rapid in situ settlement following spawning by Acropora corals at Ishigaki, southern Japan",Acropora nasuta,Acropora,Acroporidae,Scleractinia,Hexacorallia,14.31707,3.324235,NA,NA,broadcasting,Central Indo-Pacific,24.45,24.45,124.2,124.2,corymbose,branching
A_2134,A_2134_04,"Rapid in situ settlement following spawning by Acropora corals at Ishigaki, southern Japan",Acropora hyacinthus,Acropora,Acroporidae,Scleractinia,Hexacorallia,23.67442,4.826757,NA,NA,broadcasting,Central Indo-Pacific,24.45,24.45,124.2,124.2,tables_or_plates,plating
A_2134,A_2134_05,"Rapid in situ settlement following spawning by Acropora corals at Ishigaki, southern Japan",Acropora cytherea,Acropora,Acroporidae,Scleractinia,Hexacorallia,7.625,0.6797452,NA,NA,broadcasting,Central Indo-Pacific,24.45,24.45,124.2,124.2,tables_or_plates,plating
A_2134,A_2134_07,"Rapid in situ settlement following spawning by Acropora corals at Ishigaki, southern Japan",Acropora intermedia,Acropora,Acroporidae,Scleractinia,Hexacorallia,13.78571,5.794255,NA,NA,broadcasting,Central Indo-Pacific,24.45,24.45,124.2,124.2,branching_open,branching
A_2134,A_2134_08,"Rapid in situ settlement following spawning by Acropora corals at Ishigaki, southern Japan",Acropora humilis,Acropora,Acroporidae,Scleractinia,Hexacorallia,13.78571,5.794255,NA,NA,broadcasting,Central Indo-Pacific,24.45,24.45,124.2,124.2,digitate,branching
A_2868,A_2868_01,Survival Dynamics of Reef Coral Larvae With Special Consideration of Larval Size and the Genus Acropora,Acropora hyacinthus,Acropora,Acroporidae,Scleractinia,Hexacorallia,NA,NA,23.7456,0.7572148,broadcasting,Temperate Northern Pacific,32.77889,32.77889,132.7325,132.7325,tables_or_plates,plating
A_2868,A_2868_02,Survival Dynamics of Reef Coral Larvae With Special Consideration of Larval Size and the Genus Acropora,Acropora japonica,Acropora,Acroporidae,Scleractinia,Hexacorallia,NA,NA,28.6148,4.124417,broadcasting,Temperate Northern Pacific,32.77889,32.77889,132.7325,132.7325,tables_or_plates,plating
A_2868,A_2868_03,Survival Dynamics of Reef Coral Larvae With Special Consideration of Larval Size and the Genus Acropora,Acropora solitaryensis,Acropora,Acroporidae,Scleractinia,Hexacorallia,NA,NA,23.8441,0.350727,broadcasting,Temperate Northern Pacific,32.77889,32.77889,132.7325,132.7325,tables_or_plates,plating
A_2868,A_2868_04,Survival Dynamics of Reef Coral Larvae With Special Consideration of Larval Size and the Genus Acropora,Goniastrea pectinata,Goniastrea,Merulinidae,Scleractinia,Hexacorallia,NA,NA,37.62399,0.7465666,broadcasting,Temperate Northern Pacific,32.77889,32.77889,132.7325,132.7325,submassive,domed
A_0254,A_0254_01,Estimating dispersal potential for marine larvae: dynamic models applied to scleractinian corals,Acropora millepora,Acropora,Acroporidae,Scleractinia,Hexacorallia,23.239,2.473206056,23.25581395,1.580023903,broadcasting,Central Indo-Pacific,-18.61583,-18.61583,146.49694,146.49694,corymbose,branching
A_0254,A_0254_02,Estimating dispersal potential for marine larvae: dynamic models applied to scleractinian corals,Acropora valida,Acropora,Acroporidae,Scleractinia,Hexacorallia,32.25806452,2.362055934,52.63157895,10.16711032,broadcasting,Central Indo-Pacific,-18.61583,-18.61583,146.49694,146.49694,corymbose,branching
A_0254,A_0254_03,Estimating dispersal potential for marine larvae: dynamic models applied to scleractinian corals,Acropora gemmifera,Acropora,Acroporidae,Scleractinia,Hexacorallia,10.36755172,1.232005372,14.92537313,0.404923872,broadcasting,Central Indo-Pacific,-18.61583,-18.61583,146.49694,146.49694,digitate,branching
A_0254,A_0254_04,Estimating dispersal potential for marine larvae: dynamic models applied to scleractinian corals,Goniastrea retiformis,Goniastrea,Merulinidae,Scleractinia,Hexacorallia,10.41666667,0.582171578,11.49425287,0.300670293,broadcasting,Central Indo-Pacific,-18.61583,-18.61583,146.49694,146.49694,massive,domed
A_0254,A_0254_05,Estimating dispersal potential for marine larvae: dynamic models applied to scleractinian corals,Platygyra daedalea,Platygyra,Merulinidae,Scleractinia,Hexacorallia,13.0380101,2.689654137,16.66666667,0.630746806,broadcasting,Central Indo-Pacific,-18.61583,-18.61583,146.49694,146.49694,massive,domed
A_1101,A_1101,Reproduction and phylogeography of two scleractinian corals in the Western Atlantic,Favia fragum,Favia,Faviidae,Scleractinia,Hexacorallia,0.9483012,0.05156541,NA,NA,brooding,Tropical Atlantic,31.365,31.365,-64.7391667,-64.7391667,massive,domed
A_2893,A_2893_01,Reproductive biology of deep-sea corals in the Newfoundland and Labrador region.,Drifa glomerata,Drifa,Capnellidae,Malacalcyonacea,Octocorallia,41.3,3.9,NA,NA,brooding,Temperate Northern Atlantic,44.21778,44.97667,-55.56139,-53.12056,erect branched,erect branched
A_2893,A_2893_02,Reproductive biology of deep-sea corals in the Newfoundland and Labrador region.,Drifa glomerata,Drifa,Capnellidae,Malacalcyonacea,Octocorallia,12.6,2.2,NA,NA,brooding,Temperate Northern Atlantic,44.21778,44.97667,-55.56139,-53.12056,erect branched,erect branched
A_2893,A_2893_03,Reproductive biology of deep-sea corals in the Newfoundland and Labrador region.,Drifa glomerata,Drifa,Capnellidae,Malacalcyonacea,Octocorallia,13.4,2.9,NA,NA,brooding,Temperate Northern Atlantic,44.21778,44.97667,-55.56139,-53.12056,erect branched,erect branched
A_2893,A_2893_04,Reproductive biology of deep-sea corals in the Newfoundland and Labrador region.,Gersemia fruticosa,Gersemia,Alcyoniidae,Malacalcyonacea,Octocorallia,27.7,4.6,NA,NA,brooding,Temperate Northern Atlantic,44.21778,44.97667,-55.56139,-53.12056,erect branched,erect branched
A_0350,A_0350_01,Survival dynamics of scleractinian coral larvae and implications for dispersal,Acropora latistella,Acropora,Acroporidae,Scleractinia,Hexacorallia,NA,NA,5.061548,0.1605443,broadcasting,Central Indo-Pacific,-19.15,-18.767,146.25,146.85,corymbose,branching
A_0350,A_0350_02,Survival dynamics of scleractinian coral larvae and implications for dispersal,Pectinia paeonia,Pectinia,Merulinidae,Scleractinia,Hexacorallia,NA,NA,59.53006,1.611636,broadcasting,Central Indo-Pacific,-19.15,-18.767,146.25,146.85,laminar,plating
A_0350,A_0350_03,Survival dynamics of scleractinian coral larvae and implications for dispersal,Coelastrea aspera,Coelastrea,Merulinidae,Scleractinia,Hexacorallia,NA,NA,136.4577,1.411121,broadcasting,Central Indo-Pacific,-19.15,-18.767,146.25,146.85,massive,domed
A_0350,A_0350_04,Survival dynamics of scleractinian coral larvae and implications for dispersal,Favites magnistellata,Favites,Montastraeidae,Scleractinia,Hexacorallia,NA,NA,123.9635,1.789746,broadcasting,Central Indo-Pacific,-19.15,-18.767,146.25,146.85,massive,domed
A_0350,A_0350_05,Survival dynamics of scleractinian coral larvae and implications for dispersal,Dipsastraea pallida,Dipsastraea,Faviidae,Scleractinia,Hexacorallia,NA,NA,25.57686,1.021919,broadcasting,Central Indo-Pacific,-19.15,-18.767,146.25,146.85,massive,domed
A_2477,A_2477,Early life history of the Mediterranean gorgonian Paramuricea clavata:: implications for population dynamics,Paramuricea clavata,Paramuricea,Acanthogorgiidae,Malacalcyonacea,Octocorallia,22.15385,1.701606,NA,NA,brooding,Temperate Northern Atlantic,42.033,42.033,3.217,3.217,erect branched,erect branched
A_3946,A_3946_01,Temporal patterns of larval settlement and survivorship of two broadcast-spawning acroporid corals,Acropora valida,Acropora,Acroporidae,Scleractinia,Hexacorallia,7.747423,0.093744546,18.90955,0.1191602,broadcasting,Central Indo-Pacific,-23.5,-23.5,151.9,151.9,corymbose,branching
A_3946,A_3946_02,Temporal patterns of larval settlement and survivorship of two broadcast-spawning acroporid corals,Acropora muricata,Acropora,Acroporidae,Scleractinia,Hexacorallia,7.497524752,0.049107967,21.34526,0.1411247,broadcasting,Central Indo-Pacific,-23.5,-23.5,151.9,151.9,branching_open,branching
A_1395,A_1395,Coral planulae as dispersion vehicles: biological properties of larvae released early and late in the season,Stylophora pistillata,Stylophora,Pocilloporidae,Scleractinia,Hexacorallia,6.277705,0.04082303,NA,NA,brooding,Western Indo-Pacific,29.5575,29.5575,34.95167,34.95167,branching_closed,branching
A_2481,A_2481_01,"Temporal changes in settlement, lipid content and lipid composition of larvae of the spawning hermatypic coral Acropora tenuis",Acropora tenuis,Acropora,Acroporidae,Scleractinia,Hexacorallia,10.51073,0.4710861,NA,NA,broadcasting,Central Indo-Pacific,26.17,26.22,127.26,127.31,corymbose,branching
A_1059,A_1059,"Pelagic conditions affect larval behavior, survival, and settlement patterns in the Caribbean coral Montastraea faveolata",Orbicella faveolata,Orbicella,Montastraeidae,Scleractinia,Hexacorallia,19.93586,0.100871,NA,NA,broadcasting,Tropical Atlantic,25.12,25.12,-80.28,-80.28,massive,domed
A_2915,A_2915_01,"Reproduction and recruitment of scleractinian corals in a high-latitude coral community, Amakusa, southwestern Japan",Acropora solitaryensis,Acropora,Acroporidae,Scleractinia,Hexacorallia,6.796875,0.1053155,NA,NA,broadcasting,Temperate Northern Pacific,32.17,32.17,130.03,130.03,tables_or_plates,plating
A_2915,A_2915_02,"Reproduction and recruitment of scleractinian corals in a high-latitude coral community, Amakusa, southwestern Japan",Cyphastrea serailia,Cyphastrea,Merulinidae,Scleractinia,Hexacorallia,4.461905,0.0989607,NA,NA,broadcasting,Temperate Northern Pacific,32.17,32.17,130.03,130.03,massive,domed
A_2915,A_2915_03,"Reproduction and recruitment of scleractinian corals in a high-latitude coral community, Amakusa, southwestern Japan",Dipsastraea favus,Dipsastraea,Faviidae,Scleractinia,Hexacorallia,4.665138,0.09434765,NA,NA,broadcasting,Temperate Northern Pacific,32.17,32.17,130.03,130.03,massive,domed
A_1220,A_1220,Settlement-competency period of planulae and genetic differentiation of the scleractinian coral Acropora digitifera,Acropora digitifera,Acropora,Acroporidae,Scleractinia,Hexacorallia,6.746441,0.0754101,22.81,0.334296,broadcasting,Central Indo-Pacific,26.19,26.19,127.27,127.27,digitate,branching
A_1511,A_1511_01,"Temporal settlement patterns of larvae of the broadcast spawning reef coral Favites chinensis and the broadcast spawning and brooding reef coral Goniastrea aspera from Okinawa, Japan",Favites chinensis,Favites,Merulinidae,Scleractinia,Hexacorallia,3.324561,0.05570713,34.03333,0.2989918,broadcasting,Central Indo-Pacific,26.63,26.63,127.87,127.87,massive,domed
A_1511,A_1511_02,"Temporal settlement patterns of larvae of the broadcast spawning reef coral Favites chinensis and the broadcast spawning and brooding reef coral Goniastrea aspera from Okinawa, Japan",Coelastrea aspera,Coelastrea,Merulinidae,Scleractinia,Hexacorallia,14.58187,0.3239914,16.775,0.1196028,broadcasting,Central Indo-Pacific,26.63,26.63,127.87,127.87,massive,domed
A_1511,A_1511_03,"Temporal settlement patterns of larvae of the broadcast spawning reef coral Favites chinensis and the broadcast spawning and brooding reef coral Goniastrea aspera from Okinawa, Japan",Coelastrea aspera,Coelastrea,Merulinidae,Scleractinia,Hexacorallia,1.641847,0.05463621,NA,NA,brooding,Central Indo-Pacific,26.63,26.63,127.87,127.87,massive,domed
A_1811,A_1811_01,Larval settlement rates and gene flow of broadcast-spawning (Acropora tenuis) and planula-brooding (Stylophora pistillata) corals,Acropora tenuis,Acropora,Acroporidae,Scleractinia,Hexacorallia,7.422156,0.07165866,31.82233,0.373923,broadcasting,Central Indo-Pacific,26.71,26.71,127.88,127.88,corymbose,branching
A_1811,A_1811_02,Larval settlement rates and gene flow of broadcast-spawning (Acropora tenuis) and planula-brooding (Stylophora pistillata) corals,Stylophora pistillata,Stylophora,Pocilloporidae,Scleractinia,Hexacorallia,1.604265,0.04854292,15.1225,0.3475529,broadcasting,Central Indo-Pacific,26.69,26.69,128.01,128.01,branching_closed,branching
A_4128,A_4128_01,Rapid settlement in broadcast spawning corals: implications for larval dispersal,Platygyra daedalea,Platygyra,Merulinidae,Scleractinia,Hexacorallia,6.288712,0.06640728,NA,NA,broadcasting,Central Indo-Pacific,-23.48,-23.48,152.05,152.05,massive,domed
A_4128,A_4128_02,Rapid settlement in broadcast spawning corals: implications for larval dispersal,Goniastrea favulus,Goniastrea,Merulinidae,Scleractinia,Hexacorallia,3.278494,0.005366804,NA,NA,broadcasting,Central Indo-Pacific,-23.48,-23.48,152.05,152.05,massive,domed
A_2950,A_2950_01,"Larval survivorship, competency periods and settlement of two brooding corals, Heliopora coerulea and Pocillopora damicornis",Heliopora coerulea,Heliopora,Helioporidae,Scleralcyonacea,Octocorallia,5.165584416,0.320501668,NA,NA,brooding,Temperate Northern Pacific,24.35833,24.35833,124.25,124.25,massive,horizontal unbranched
A_2950,A_2950_02,"Larval survivorship, competency periods and settlement of two brooding corals, Heliopora coerulea and Pocillopora damicornis",Pocillopora damicornis,Pocillopora,Pocilloporidae,Scleractinia,Hexacorallia,22.54277055,1.155516791,NA,NA,brooding,Temperate Northern Pacific,24.35833,24.35833,124.25,124.25,branching_closed,branching
A_4179,A_4179,"Larval settlement patterns, dispersal potential, and the effect of temperature on settlement of larvae of the reef coral, Platygyra daedalea, from the Great Barrier Reef.",Platygyra daedalea,Platygyra,Merulinidae,Scleractinia,Hexacorallia,28.28039,0.2974324,NA,NA,broadcasting,Central Indo-Pacific,-23.4,-23.4,151.9,151.9,massive,domed
A_1453,A_1453_01,Size variation of planulae and its effect on the lifetime of planulae in three pocilloporid corals,Pocillopora damicornis,Pocillopora,Pocilloporidae,Scleractinia,Hexacorallia,0.8075,0.0499,NA,NA,brooding,Central Indo-Pacific,26.64,26.64,127.87,127.87,branching_closed,branching
A_1453,A_1453_02,Size variation of planulae and its effect on the lifetime of planulae in three pocilloporid corals,Seriatopora hystrix,Seriatopora,Pocilloporidae,Scleractinia,Hexacorallia,0.7877,0.0556,NA,NA,brooding,Central Indo-Pacific,26.64,26.64,127.87,127.87,branching_closed,branching
A_1453,A_1453_03,Size variation of planulae and its effect on the lifetime of planulae in three pocilloporid corals,Stylophora pistillata,Stylophora,Pocilloporidae,Scleractinia,Hexacorallia,0.9008,0.0618,NA,NA,brooding,Central Indo-Pacific,26.64,26.64,127.87,127.87,branching_closed,branching
A_2972,A_2972_01,Toxicity of third generation dispersants and dispersed Egyptian crude oil on red sea coral larvae,Stylophora pistillata,Stylophora,Pocilloporidae,Scleractinia,Hexacorallia,2.304502,0.364685,NA,NA,brooding,Western Indo-Pacific,29.5,29.5,34.92,34.92,branching_closed,branching
A_0434,A_0434,"Embryogenesis, planulae longevity, and competence in the octocoral Dendronephthya hemprichi",Dendronephthya hemprichi,Dendronephthya,Nephtheidae,Malacalcyonacea,Octocorallia,20.40511,1.095351,68.08538,0.7003571,broadcasting,Western Indo-Pacific,29.5,29.5,34.9,34.9,erect branched,erect branched
A_0986,A_0986_01,Settlement-competency periods of larvae of three species of scleractinian corals,Cyphastrea serailia,Cyphastrea,Merulinidae,Scleractinia,Hexacorallia,12.20084866,0.032704515,NA,NA,broadcasting,Temperate Australasia,-30.333,-29.833,153.08333,153.5,massive,domed
A_0986,A_0986_02,Settlement-competency periods of larvae of three species of scleractinian corals,Micromussa lordhowensis,Micromussa,Lobophylliidae,Scleractinia,Hexacorallia,23.98371336,0.337044592,NA,NA,broadcasting,Temperate Australasia,-30.333,-29.833,153.08333,153.5,massive,domed
A_2106,A_2106_01,Competence and longevity in planulae of several species of soft corals,Rhytisma fulvum,Rhytisma,Lemnaliidae,Malacalcyonacea,Octocorallia,30.62001,0.1662626,21.55111,0.2042387,brooding,Western Indo-Pacific,29.5,29.5,34.92,34.92,horizontal unbranched,horizontal unbranched
A_2106,A_2106_02,Competence and longevity in planulae of several species of soft corals,Dendronephthya hemprichi,Dendronephthya,Nephtheidae,Malacalcyonacea,Octocorallia,38.48229,0.734225,38.16185,0.6747401,broadcasting,Western Indo-Pacific,29.5,29.5,34.92,34.92,erect branched,erect branched
A_2106,A_2106_03,Competence and longevity in planulae of several species of soft corals,Litophyton arboreum,Litophyton,Nephtheidae,Malacalcyonacea,Octocorallia,26.92623,0.3032274,43.87771,0.5212718,brooding,Western Indo-Pacific,29.5,29.5,34.92,34.92,erect branched,erect branched
A_2106,A_2106_04,Competence and longevity in planulae of several species of soft corals,Xenia umbellata,Xenia,Xeniidae,Malacalcyonacea,Octocorallia,30.99856,0.4681183,48.27041,0.4386019,brooding,Western Indo-Pacific,29.5,29.5,34.92,34.92,"erect unbranched,erect branched",erect branched
A_3003,A_3003,"Longevity, competence and energetic content in planulae of the soft coral Heteroxenia fuscescens",Heteroxenia fuscescens,Heteroxenia,Xeniidae,Malacalcyonacea,Octocorallia,22.35387,0.1457541,32.96252,0.1432959,brooding,Western Indo-Pacific,29.5,29.5,34.92,34.92,erect branched,erect branched
A_4303,A_4303_01,An ancient chemosensory mechanism brings new life to coral reefs,Acropora nasuta,Acropora,Acroporidae,Scleractinia,Hexacorallia,8.373272,0.7693517,NA,NA,broadcasting,Central Indo-Pacific,26.1,26.3,127.2,127.5,corymbose,branching
A_4303,A_4303_02,An ancient chemosensory mechanism brings new life to coral reefs,Acropora digitifera,Acropora,Acroporidae,Scleractinia,Hexacorallia,12.38583,1.067385,NA,NA,broadcasting,Central Indo-Pacific,26.1,26.3,127.2,127.5,digitate,branching
A_4303,A_4303_03,An ancient chemosensory mechanism brings new life to coral reefs,Acropora tenuis,Acropora,Acroporidae,Scleractinia,Hexacorallia,15.25433,0.9064242,NA,NA,broadcasting,Central Indo-Pacific,26.1,26.3,127.2,127.5,corymbose,branching
A_1588,A_1588,DISPERSAL OF THE SOLITARY CORAL BALANOPHYLLIA-ELEGANS BY DEMERSAL PLANULAR LARVAE,Balanophyllia elegans,Balanophyllia,Dendrophylliidae,Scleractinia,Hexacorallia,2.7,0.462,NA,NA,brooding,Temperate Northern Pacific,32.5,33,-117.3,-117,domed,domed
